2021-07-04T18:55:03.056Z GET, "/comfort", status=304, response-time=1.562 ms
2021-07-04T18:55:03.310Z GET, "/db_gauge_weather", status=304, response-time=1.376 ms
2021-07-04T18:55:03.316Z GET, "/db_gauge_noise", status=304, response-time=3.544 ms
2021-07-04T18:55:03.338Z GET, "/db_gauge_gas", status=304, response-time=1.419 ms
2021-07-04T18:55:03.356Z GET, "/db_gauge_light", status=304, response-time=1.715 ms
2021-07-04T18:55:10.754Z GET, "/temperature", status=304, response-time=3.471 ms
2021-07-04T18:55:11.001Z GET, "/db_temperature?period=Day", status=304, response-time=2.453 ms
2021-07-04T18:55:13.083Z GET, "/db_temperature?period=All", status=304, response-time=2.757 ms
2021-07-04T18:55:16.021Z GET, "/humidity", status=304, response-time=2.301 ms
2021-07-04T18:55:16.303Z GET, "/db_humidity?period=Day", status=304, response-time=1.258 ms
2021-07-04T18:55:17.215Z GET, "/db_humidity?period=Month", status=200, response-time=3.179 ms
